        7000       35000		two
       66500       94500		three
      129500      157500		four
      185500      213500		five
      245000      273000		six
      301000      332500		seven
      360500      385000		eight
      420000      451500		nine
      479500      504000		ten
      532000      570500		eleven
      595000      630000		twelve
      658000      696500		thirteen
      717500      752500		fourteen
      777000      815500		fifteen
      829500      871500		sixteen
      889000      934500		seventeen
      952000      987000		eighteen
     1011500     1050000		nineteen
     1071000     1102500		twenty
     1134000     1162000		thirty
     1190000     1221500		forty
     1253000     1284500		fifty
     1305500     1344000		sixty
     1368500     1407000		seventy
     1428000     1459500		eighty
     1484000     1519000		ninety
     1550500     1582000		hundred
     1610000     1641500		thousand
     1662500     1697500		million
     1718500     1750000		billion
     1774500     1813000		January
     1827000     1865500		February
     1879500     1911000		March
     1935500     1967000		April
     1988000     2019500		May
     2047500     2079000		June
     2096500     2131500		July
     2156000     2194500		August
     2201500     2243500		September
     2257500     2303000		October
     2317000     2355500		November
     2369500     2408000		December
     2425500     2464000		Monday
     2478000     2520000		Tuesday
     2537500     2576000		Wednesday
     2583000     2635500		Thursday
     2649500     2688000		Friday
     2702000     2749000		Saturday
     2753700     2789500		Sunday
     2859500     2894500		morning
     2908500     2940000		noon
     2957500     2999500		afternoon
     3013500     3045000		night
     3069500     3101000		midnight
     3122000     3157000		evening
     3178000     3206000		a.m.
     3227000     3258500		p.m.
     3283000     3314500		now
     3335500     3367000		next
     3388000     3423000		last
     3437000     3475500		yesterday
     3489500     3524500		today
     3542000     3580500		tomorrow
     3598000     3633000		ago
     3657500     3692500		after
     3710000     3745000		before
     3766000     3797500		from
     3818500     3850000		for
     3878000     3906000		through
     3923500     3962000		until
     3986500     4014500		till
     4046000     4067000		that
     4095000     4126500		this
     4151000     4179000		day
     4203500     4231500		month
     4259500     4280500		week
     4308500     4333000		year
